제목	저자	번역	출간일	페이지	ISBN	정가	판가	마일리지
4차 산업혁명 시대를 위한 e-비즈니스 개론(4판)	이동훈	 	2021-03-07	512	9791156645320	27000	27000	810
IT CookBook, C 언어 일취월장(2판)	신윤환	 	2021-02-24	800	9791156645313	28000	28000	840
Numerical Methods for Engineers, 8th Edition	Steven Chapra, Raymond Canale	 	2021-02-18	1008	9781260571387	45000	45000	1350
IT CookBook, SQL Server로 배우는 데이터베이스 개론과 실습(2판)	박우창, 남송휘, 이현룡	 	2021-02-10	604	9791156645290	29000	29000	870
IT CookBook, 손에 잡히는 데이터 통신	임석구	 	2021-01-23	572	9791156645283	29000	29000	870
IT CookBook, 파이썬 자료구조와 알고리즘 for Beginner	우재남	 	2021-01-23	520	9791156645252	27000	27000	810
STEM CookBook, 대학물리학(5판)	Alan Giambattista	김용은 외	2021-01-20	1464	9791156645207	43000	43000	1290
STEM CookBook, 재료역학(2판)	Anthony Bedford, Kenneth M. Liechti	정광영, 김형종, 마정범, 최정호, 홍석무	2021-01-20	840	9791156645191	38000	38000	1140
IT CookBook, 디지털 회로 실험 with PSpice	홍순관	 	2021-01-15	396	9791156645122	22000	22000	660
한번에 통과하는 논문 세트	히든그레이스 논문통계팀	 	2021-01-08	1448	9791156645177	85000	85000	2550
데이터 과학을 위한 기초수학 with 파이썬	이병준	 	2021-01-06	448	9791156645160	26000	26000	780
미분적분학 : 대학수학의 첫걸음	수학교재편찬위원회	 	2021-01-06	620	9791156645269	28000	28000	840
제대로 시작하는 기초 통계학 : Excel 활용 (2판)	노경섭	 	2021-01-06	364	9791156645153	25000	25000	750
친절한 미분적분학	캐럴 애시, 로버트 B. 애시	김광수, 한빛수학교재연구소	2021-01-06	688	9791156645276	32000	32000	960
IT CookBook, 4차 산업혁명과 정보통신의 이해	김정섭, 이호상, 양인창	 	2021-01-05	448	9791156645047	25000	25000	750
IT CookBook, Android Studio를 활용한 안드로이드 프로그래밍(6판)	우재남, 박길식	 	2021-01-05	580	9791156645245	32000	32000	960
IT CookBook, C# 프로그래밍 2판	윤인성	 	2021-01-05	480	9791156645238	26000	26000	780
IT CookBook, 게임 제작으로 배우는 유니티	이종원, 정종필	 	2021-01-05	496	9791156645108	30000	30000	900
